model,eer,eer_threshold,frr@far0.1%,frr@far1%,far@cfg_threshold,frr@cfg_threshold,eer_mean,eer_std,n_genuine,n_impostor
svm,0.050966183574879226,0.004460809222830577,0.5166666666666667,0.16666666666666666,0.961352657004831,0.0,0.050905797101449275,0.002909851160182792,360,8280
squeezenet,0.015519323671497585,0.02789309590955243,0.07222222222222222,0.019444444444444445,0.9274154589371981,0.0,0.014130434782608697,0.003868506613054823,360,8280
